No.,Nama Sungai,Lokasi/ Koordinat,Periode/ Tanggal,TSS,DO,BOD,COD,Fosfat,Fecal Coli,Total-Coliform,TSS.1,DO.1,BOD.1,COD.1,Fosfat.1,Fecal Coli.1,Total-Coliform.1,TSS.2,DO.2,BOD.2,COD.2,Fosfat.2,Fecal Coli.2,Total-Coliform.2,TSS.3,DO.3,BOD.3,COD.3,Fosfat.3,Fecal Coli.3,Total-Coliform.3,(Ci/Lij)R,(Ci/Lij)M,(Ci/Lij)R2,(Ci/Lij)M2,Pij,Status Mutu Air
1,Cimahi Hulu, E 107´33.618´ S 06´51.309´,2019-04-05,81.0,7.19,4.0,12.0,0.28,1100000,1100000.0,50,4,3,25,0.2,1000,5000,1.62,-0.015833333333333366,1.3333333333333333,0.48,1.4000000000000001,1100.0,,2.0475750727131548,2.273344495274601,1.6246936830414995,-0.5937938131220639,1.4000000000000001,1100.0,0.0,158.10740277684388,1100.0,24997.950812839143,1210000.0,785.8110303415317,berat
2,Cimahi Tengah,E 108´32.466´ S 06´53.606´,2019-04-01,62.0,6.04,4.0,11.0,0.36,240000,1100000.0,50,4,3,25,0.2,1000,5000,1.24,0.08,1.3333333333333333,0.44,1.7999999999999998,240.0,,1.4671084258111753,0.08,1.6246936830414995,-0.7827366175690629,1.7999999999999998,240.0,0.0,34.884152213040515,240.0,1216.9040756225795,57600.0,171.48892686646357,berat
3,Cimahi Hilir," E 107° 32' 304"" S 06° 55' 203"" ",2019-04-05,20.0,6.19,6.0,27.0,0.33,1100000,1100000.0,50,4,3,25,0.2,1000,5000,0.4,0.06749999999999996,2.0,1.08,1.65,1100.0,,-0.9897000433601879,0.06749999999999996,2.5051499783199063,1.1671187774347487,1.65,1100.0,0.0,157.77143838748492,1100.0,24891.82677085595,1210000.0,785.7772670327311,berat
4,Cisangkan Hulu,E 107´32.181´ S 06´52.223´,2019-04-01,23.0,4.25,2.0,7.0,0.78,460000,460000.0,50,4,3,25,0.2,1000,5000,0.46,0.22916666666666666,0.6666666666666666,0.28,3.9,460.0,,-0.6862108415921295,0.22916666666666666,0.1195437047215937,-1.7642098432889037,3.9,460.0,0.0,65.9711842409296,460.0,4352.197150150679,211600.0,328.5971676309389,berat
5,Cisangkan Tengah,E 108´31.818´ S 06´52.867´,2019-04-01,25.0,1.0,6.0,23.0,0.86,1100000,1100000.0,50,4,3,25,0.2,1000,5000,0.5,0.5,2.0,0.92,4.3,1100.0,,-0.505149978319906,0.5,2.5051499783199063,0.8189391367277764,4.3,1100.0,0.0,158.23127701953254,1100.0,25037.137027232046,1210000.0,785.8234970485522,berat
6,Cisangkan Hilir,"E 107° 32' 006""  S 6° 55' 092"" ",2019-04-02,20.0,1.73,19.0,42.0,0.94,93000,240000.0,50,4,3,25,0.2,1000,5000,0.4,0.43916666666666665,6.333333333333333,1.68,4.699999999999999,93.0,,-0.9897000433601879,0.43916666666666665,5.008161731165832,2.126546408629314,4.699999999999999,93.0,0.0,14.89773925187166,93.0,221.94263481675753,8649.0,66.59933421144973,berat
7,Cibabat Hulu,E 107´33.694´ S 06´53.373´,2019-04-04,26.0,5.38,6.0,29.0,0.48,1100000,1100000.0,50,4,3,25,0.2,1000,5000,0.52,0.135,2.0,1.16,2.4,1100.0,,-0.4199832818260041,0.135,2.5051499783199063,1.3222899461345923,2.4,1100.0,0.0,157.9917795203755,1100.0,24961.402396014942,1210000.0,785.7994026454891,berat
8,Cibabat Tengah,E 107´32.892´ S 06´54.016´,2019-04-04,21.0,2.1,24.0,60.0,0.93,1100000,1100000.0,50,4,3,25,0.2,1000,5000,0.42,0.4083333333333334,8.0,2.4,4.65,1100.0,,-0.8837535480104979,0.4083333333333334,5.515449934959718,2.90105620855803,4.65,1100.0,0.0,158.9415837041201,1100.0,25262.427030373812,1210000.0,785.895167000782,berat
9,Cibabat Hilir,"E 107° 33' 008""  S 06° 55' 502"" ",2019-04-05,32.0,2.27,46.0,122.0,1.08,1100000,1100000.0,50,4,3,25,0.2,1000,5000,0.64,0.3941666666666667,15.333333333333334,4.88,5.4,1100.0,,0.03089986991943594,0.3941666666666667,6.928182884809559,4.442099110013553,5.4,1100.0,0.0,159.59933550448704,1100.0,25471.947893473818,1210000.0,785.9618145601839,berat
10,Cibaligo Hulu,E 107´33.329´ S 06´53.876´,2019-04-04,82.0,4.87,19.0,39.0,0.51,1100000,1100000.0,50,4,3,25,0.2,1000,5000,1.64,0.1775,6.333333333333333,1.56,2.55,1100.0,,2.0742192402384894,0.1775,5.008161731165832,1.965622991772308,2.55,1100.0,0.0,158.82507199473952,1100.0,25225.403494134192,1210000.0,785.8833894077842,berat
11,Cibaligo Tengah,E 107´33.108' S 06´54.523´,2019-04-04,20.0,2.67,57.0,104.0,0.39,1100000,1100000.0,50,4,3,25,0.2,1000,5000,0.4,0.36083333333333334,19.0,4.16,1.95,1100.0,,-0.9897000433601879,0.36083333333333334,7.393768004764144,4.095466653133714,1.95,1100.0,0.0,158.97290970683872,1100.0,25272.386020658698,1210000.0,785.89833503471,berat
