Nama Sungai,Koordinat,Periode,TSS,DO,BOD,COD,Fosfat,Fecal Coli,Total-Coliform,(Ci/Lij)M2,Pij,Status Mutu Air,Year,WaterQualityStatus,WaterQualityStatus_encoded
Cibaligo Hilir,E 107´32.714´ S 06´55.918´,2012-05-08,1260.0,0.0,126.0,380.0,0.198,500,3000000.0,221.73462175404148,11.278262025706304,berat,2012,berat,2.0
Cibeureum Hulu,E 107´32.714´ S 06´55.918´,2012-05-09,298.0,5.79,14.9,51.3,0.198,3000000,115000000.0,520.2340212474438,17.00031198151746,berat,2012,berat,2.0
Cibeureum Tengah,E 107´32.714´ S 06´55.918´,2012-05-09,288.0,3.18,11.8,71.7,0.198,3000000,6700000.0,338.03051804777766,13.85440544161238,berat,2012,berat,2.0
Cibeureum Hilir,E 107´32.714´ S 06´55.918´,2012-05-09,535.0,0.0,1255.0,2867.0,0.198,5000000,9000000.0,380.0491773678003,15.442625072819464,berat,2012,berat,2.0
Cibabat Hilir,E 107´32.714´ S 06´55.918´,2012-05-08,893.0,0.779,65.2,272.0,0.198,500000,40000000.0,420.8836860338387,15.594774419820927,berat,2012,berat,2.0
Cisangkan Hilir,E 107´32.714´ S 06´55.918´,2012-05-07,1170.0,0.076,26.2,83.4,0.198,260000,327000000.0,628.9005037371381,18.610041181653106,berat,2012,berat,2.0
Cibaligo Hulu,E 107´32.714´ S 06´55.918´,2012-05-02,244.0,5.26,9.47,24.4,0.198,490000,770000.0,208.83083452530468,10.826659190360148,berat,2012,berat,2.0
Cibaligo Tengah,E 107´32.714´ S 06´55.918´,2012-05-02,523.0,2.11,117.0,308.0,0.198,220000,2320000.0,205.4231333211108,11.276959819059863,berat,2012,berat,2.0
Cisangkan Tengah,E 107´32.714´ S 06´55.918´,2012-05-02,239.0,1.08,19.6,54.8,0.198,590000,37000000.0,413.966169721618,15.177841251182878,berat,2012,berat,2.0
Cimahi Hilir,E 107´32.714´ S 06´55.918´,2012-05-07,707.0,3.02,7.86,34.7,0.198,2500,296000000.0,618.0995788786983,18.032295783948044,berat,2012,berat,2.0
